INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,7.115,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,19.2244,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.2707,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.922,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,2.6473,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,f,1,1.4209,space,0.719,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,f,1,1.2206,space,0.5025,0,1,1,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,f,1,1.2085,space,0.5481,0,2,2,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,j,1,1.2229,space,2.5405,0,3,3,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,7885,2022-04-06_19h07.32.683,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,60.77918921,f,1,2.0761,space,0.6666,0,4,4,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
