INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
space,9.5247,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,18.4034,0,1,1,1,1,"Each statement will appear on your screen for up to 4 seconds and you will have those 4 seconds to decide if it is true or false before the next statement appears. There will be a beep to inform you that you have 2.5 seconds remaining. Please make sure the sound on your computer is turned on. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press SPACE to continue",2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,23.7291,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,25.696,0,3,3,3,1,"Prior to completing the study, you will complete 10 practice trials to familiarize yourself with the task. Your performance on these trials will determine your participation in the following study. Press SPACE to continue.",2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.3608,0,4,4,4,1,"If the statement is true, press the “F” key on your keyboard with your left pointer finger; if the statement is false, press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,f,1,2.3055,space,1.703,0,0,0,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,f,1,1.623,space,1.1827,0,1,1,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,f,1,1.2572,space,1.6098,0,2,2,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,f,0,1.077,space,0.8397,0,3,3,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,f,1,1.1907,space,0.6727,0,4,4,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,j,1,1.6754,space,0.8407,0,5,5,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,f,1,0.9396,space,0.9423,0,6,6,0,1,A circle is a shape,f,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,j,1,0.8949,space,0.6752,0,7,7,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,j,1,1.2756,space,0.4074,0,8,8,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,j,1,1.2734,space,0.3739,0,9,9,7,1,The Earth is a star,j,,,,,,,,,,,,,,,
,,,,,,,,2218,2022-04-06_16h15.46.091,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.36832106,,,,space,1.5419,,,,,,,,space,4.1733,f,1,2.1557,,0,0,0,90,1,A triangle is not an animal,f,,
